Journal;Volume;Year;Issue;Title;Authors
IREE;8;2009;1;Towards the bigger picture;Peter Davies, Ross Guest
IREE;8;2009;1;Political Orientation and the Decision to Major in Economics: Some Preliminary Observations;Robin L. Bartlett, Marianne A. Ferber, Carole A. Green
IREE;8;2009;1;Dual Enrollment: An Instructor's Perspective;Lesley Mace
IREE;8;2009;1;Does the Performance on Principles of Economics Courses Affect the Overall Academic Success of Undergraduate Business Majors?;Rupert G. Rhodd, Sandra M. Schrouder, Marcus T. Allen
IREE;8;2009;1;The Impact of Writing Assignments on Student Learning: Should Writing Assignments Be Structured or Unstructured?;Linda Dynan, Tom Cate
IREE;8;2009;1;Assessing an Economics Programme: Hansen Proficiencies, ePortfolio, and Undergraduate Research;Steven C. Myers, Michael A. Nelson, Richard W. Stratton
IREE;8;2009;1;Selecting Strategies to Foster Economists' Critical Thinking Skills: A Quantile Regression Approach;Costas Siriopoulos, Gerasimos Pomonis
IREE;8;2009;1;Threshold concepts and metalearning capacity;Jan H.F. Meyer, Sophie C. Ward, Paul Latreille
IREE;8;2009;1;Animal Spirits: How Human Psychology Drives the Economy, and Why it Matters for Global Capitalism;Cynthia Harter
IREE;8;2009;1;Nudge: Improving Decisions About Health, Wealth, and Happiness;Gail Mitchell Hoyt
IREE;8;2009;2;Editorial: Pluralism in Economics Education;Andy Denis
IREE;8;2009;2;The Economists of Tomorrow: the Case for a Pluralist Subject Benchmark Statement for Economics*;Alan Freeman
IREE;8;2009;2;History of Thought and Methodology in Pluralist Economics Education*;Sheila Dow
IREE;8;2009;2;Rethinking The Pluralist Agenda in Economics Education*;Robert F. Garnett
IREE;8;2009;2;Pluralism and Economic Education: a Learning Theory Approach;Janice Peterson, KimMarie McGoldrick
IREE;8;2009;2;Performing Economics: A Critique of 'Teaching and Learning'*;David Wilson, William Dixon
IREE;8;2009;2;The Handbook of Pluralist Economics Education;KimMarie McGoldrick
IREE;8;2009;2;Teaching Pluralism in Economics;Janice Peterson
IREE;9;2010;1;What effect do we really have on students' understanding and attitudes? How do we know?;Peter Davies, Ross Guest, IREE Editors
IREE;9;2010;1;Assessment Plan and Design: A Model for Enhancing Instruction in Economics Courses;Jill Caviglia-Harris, Brian Hill
IREE;9;2010;1;An assessment of the impact of online quizzes and textbook resources on students' learning;Monica Galizzi
IREE;9;2010;1;Laying Off or Not? The Influence of Framing and Economics Education;Jeannette Brosig, Timo Heinrich, Thomas Riechmann, Ronnie Sch\xc3\xb6b, Joachim Weimann
IREE;9;2010;1;Using 'The Apprentice' to Teach a Managerial Economics Course;Kerry A. King-Adzima
IREE;9;2010;1;Student Performance in Principles of Macroeconomics: the Importance of Gender and Personality Type;Leiv Opstad, Lars Fallan
IREE;9;2010;1;Adventures in Learning: Creating Role Playing Video Games to Teach and Learn Economics;Catherine L. Lawson, Larry L. Lawson
IREE;9;2010;1;A New Keynesian Workbook;Pavel S. Kapinos
IREE;9;2010;1;Using Equity Markets to Teach Long-Run Monetary Neutrality;Stephen M. Miller
IREE;9;2010;2;Experimental Economics and Economic Education;Mike Watts, Ross Guest
IREE;9;2010;2;Discovering Economics in the Classroom with Experimental Economics and the Scottish Enlightenment*;Taylor Jaworski, Vernon L. Smith, Bart J. Wilson
IREE;9;2010;2;Teaching Opportunity Cost in an Emissions Permit Experiment;Charles Holt, Erica Myers, Markus Wr\xc3\xa5ke, Svante Mandell, Dallas Burtraw
IREE;9;2010;2;Do Classroom Experiments Affect the Number of Economics Enrolments and Majors? A Study of Students in the United States;Tisha L.N. Emerson, Beck A. Taylor
IREE;9;2010;2;Experiential Learning with Experiments;Henrik Egbert, Vanessa Mertins
IREE;9;2010;2;Patents and R&D: A Classroom Experiment;Amy McCormick Diduch
IREE;9;2010;2;To Work or Not to Work \xe2\x80\xa6That is the Question: Labour Market Decisions in the Classroom;Arlene Garces-Ozanne, Phyll Esplin
IREE;9;2010;2;Using Economic Classroom Experiments 1;Todd R. Kaplan, Dieter Balkenborg
